,Cycle,Subject,CNO / Vehicle,Behavior,Event_Type,Time_Relative_sf,Duration_sf
0,3cycle,A,CNO,Approach hands to food (from tray),State point,18.2914,0.0
1,3cycle,A,CNO,Approach hands to food (from tray),State point,19.5869,0.0
2,3cycle,A,CNO,Approach hands to food (from tray),State point,20.9749,0.0
3,3cycle,A,CNO,Approach hands to food (from tray),State point,32.0892,0.0
4,3cycle,A,CNO,Approach hands to food (from tray),State point,33.2657,0.0
5,3cycle,A,CNO,Approach hands to food (from tray),State point,44.2092,0.0
6,3cycle,A,CNO,Approach hands to food (from tray),State point,45.9732,0.0
7,3cycle,A,CNO,Approach hands to food (from tray),State point,47.0412,0.0
8,3cycle,A,CNO,Approach hands to food (from tray),State point,49.8852,0.0
9,3cycle,A,CNO,Approach hands to food (from tray),State point,62.0972,0.0
10,3cycle,A,CNO,Approach hands to food (from tray),State point,63.2207,0.0
11,3cycle,A,CNO,Approach hands to food (from tray),State point,73.8212,0.0
12,3cycle,A,CNO,Approach hands to food (from tray),State point,74.6572,0.0
13,3cycle,A,CNO,Approach hands to food (from tray),State point,87.9772,0.0
14,3cycle,A,CNO,Approach hands to food (from tray),State point,166.234,0.0
15,3cycle,A,CNO,Approach hands to food (from tray),State point,239.758,0.0
16,3cycle,A,CNO,Approach hands to food (from tray),State point,297.601,0.0
17,3cycle,A,CNO,Approach hands to food (from tray),State point,342.826,0.0
18,3cycle,A,CNO,Approach hands to food (from tray),State point,407.118,0.0
19,3cycle,A,CNO,Approach hands to food (from tray),State point,472.203,0.0
20,3cycle,A,CNO,Approach hands to food (from tray),State point,526.022,0.0
21,3cycle,A,CNO,Approach hands to food (from tray),State point,591.241,0.0
22,3cycle,A,CNO,Approach hands to food (from tray),State point,622.621,0.0
23,3cycle,A,CNO,Approach hands to food (from tray),State point,736.638,0.0
24,3cycle,A,CNO,Approach hands to food (from tray),State point,793.727,0.0
25,3cycle,A,CNO,Approach hands to food (from tray),State point,839.219,0.0
26,3cycle,A,CNO,Approach hands to food (from tray),State point,902.816,0.0
27,3cycle,A,CNO,Approach hands to food (from tray),State point,962.288,0.0
28,3cycle,A,CNO,Approach hands to food (from tray),State point,1047.3,0.0
29,3cycle,A,CNO,Approach hands to food (from tray),State point,1134.39,0.0
30,3cycle,A,Vehicle,Approach hands to food (from tray),State point,4.18167,0.0
31,3cycle,A,Vehicle,Approach hands to food (from tray),State point,68.1183,0.0
32,3cycle,A,Vehicle,Approach hands to food (from tray),State point,91.5395,0.0
33,3cycle,A,Vehicle,Approach hands to food (from tray),State point,95.899,0.0
34,3cycle,A,Vehicle,Approach hands to food (from tray),State point,163.665,0.0
35,3cycle,A,Vehicle,Approach hands to food (from tray),State point,231.694,0.0
36,3cycle,A,Vehicle,Approach hands to food (from tray),State point,300.065,0.0
37,3cycle,A,Vehicle,Approach hands to food (from tray),State point,340.821,0.0
38,3cycle,A,Vehicle,Approach hands to food (from tray),State point,381.457,0.0
39,3cycle,A,Vehicle,Approach hands to food (from tray),State point,420.433,0.0
40,3cycle,A,Vehicle,Approach hands to food (from tray),State point,457.908,0.0
41,3cycle,A,Vehicle,Approach hands to food (from tray),State point,459.496,0.0
42,3cycle,A,Vehicle,Approach hands to food (from tray),State point,504.227,0.0
43,3cycle,A,Vehicle,Approach hands to food (from tray),State point,513.256,0.0
44,3cycle,A,Vehicle,Approach hands to food (from tray),State point,562.323,0.0
45,3cycle,A,Vehicle,Approach hands to food (from tray),State point,673.02,0.0
46,3cycle,A,Vehicle,Approach hands to food (from tray),State point,701.868,0.0
47,3cycle,A,Vehicle,Approach hands to food (from tray),State point,893.322,0.0
48,3cycle,A,Vehicle,Approach hands to food (from tray),State point,894.826,0.0
49,3cycle,A,Vehicle,Approach hands to food (from tray),State point,1002.79,0.0
50,3cycle,A,Vehicle,Approach hands to food (from tray),State point,1144.56,0.0
51,3cycle,B,CNO,Approach hands to food (from tray),State point,10.4165,0.0
52,3cycle,B,CNO,Approach hands to food (from tray),State point,14.9998,0.0
53,3cycle,B,CNO,Approach hands to food (from tray),State point,16.2081,0.0
54,3cycle,B,CNO,Approach hands to food (from tray),State point,27.3329,0.0
55,3cycle,B,CNO,Approach hands to food (from tray),State point,83.1237,0.0
56,3cycle,B,CNO,Approach hands to food (from tray),State point,104.241,0.0
57,3cycle,B,CNO,Approach hands to food (from tray),State point,126.581,0.0
58,3cycle,B,CNO,Approach hands to food (from tray),State point,182.497,0.0
59,3cycle,B,CNO,Approach hands to food (from tray),State point,240.913,0.0
60,3cycle,B,CNO,Approach hands to food (from tray),State point,293.079,0.0
61,3cycle,B,CNO,Approach hands to food (from tray),State point,390.16,0.0
62,3cycle,B,CNO,Approach hands to food (from tray),State point,474.492,0.0
63,3cycle,B,CNO,Approach hands to food (from tray),State point,541.95,0.0
64,3cycle,B,CNO,Approach hands to food (from tray),State point,544.891,0.0
65,3cycle,B,CNO,Approach hands to food (from tray),State point,591.837,0.0
66,3cycle,B,CNO,Approach hands to food (from tray),State point,604.116,0.0
67,3cycle,B,CNO,Approach hands to food (from tray),State point,660.407,0.0
68,3cycle,B,CNO,Approach hands to food (from tray),State point,669.841,0.0
69,3cycle,B,CNO,Approach hands to food (from tray),State point,677.217,0.0
70,3cycle,B,CNO,Approach hands to food (from tray),State point,679.989,0.0
71,3cycle,B,CNO,Approach hands to food (from tray),State point,684.989,0.0
72,3cycle,B,CNO,Approach hands to food (from tray),State point,691.746,0.0
73,3cycle,B,CNO,Approach hands to food (from tray),State point,730.405,0.0
74,3cycle,B,CNO,Approach hands to food (from tray),State point,733.37,0.0
75,3cycle,B,CNO,Approach hands to food (from tray),State point,734.78,0.0
76,3cycle,B,CNO,Approach hands to food (from tray),State point,897.361,0.0
77,3cycle,B,CNO,Approach hands to food (from tray),State point,905.527,0.0
78,3cycle,B,CNO,Approach hands to food (from tray),State point,908.444,0.0
79,3cycle,B,CNO,Approach hands to food (from tray),State point,911.355,0.0
80,3cycle,B,CNO,Approach hands to food (from tray),State point,913.194,0.0
81,3cycle,B,CNO,Approach hands to food (from tray),State point,916.86,0.0
82,3cycle,B,CNO,Approach hands to food (from tray),State point,920.277,0.0
83,3cycle,B,CNO,Approach hands to food (from tray),State point,924.902,0.0
84,3cycle,B,CNO,Approach hands to food (from tray),State point,935.735,0.0
